"origin","dest","year","flow_2.5%","flow_50%","flow_97.5%"
"Switzerland","Czechia","2009",221.1,419,781.4
"United Kingdom","Czechia","2009",461.8,2245.8,11322.5
"North Macedonia","Czechia","2009",22.7,46.6,100.7
"Other Europe","Czechia","2009",947.6,9118,85852.1
"North Africa","Czechia","2009",67.5,559.7,4869.6
"Sub-Saharan Africa","Czechia","2009",158.9,1321.8,11705.5
"West Asia","Czechia","2009",119,1011,8753.1
"East Asia","Czechia","2009",166.1,1404.5,10974
"South-Southeast Asia","Czechia","2009",280.7,2422.1,21159.5
"North America and Oceania","Czechia","2009",162.2,1310.7,11077.1
"Latin America","Czechia","2009",109.3,937.5,7989.2
"Austria","Denmark","2009",175.2,224.1,289.1
"Belgium","Denmark","2009",252.7,334.7,438.1
"Bulgaria","Denmark","2009",687,888.8,1153.8
"Croatia","Denmark","2009",28,40.2,57.5
"Cyprus","Denmark","2009",23.2,33.8,48.2
"Czechia","Denmark","2009",154.9,206.8,271.8
"Denmark","Denmark","2009",NA,NA,NA
"Estonia","Denmark","2009",126.9,167.5,221.8
"Finland","Denmark","2009",268.2,337.6,428.4
"France","Denmark","2009",888.4,1154.9,1506.9
"Germany","Denmark","2009",2660.4,3486,4510
"Greece","Denmark","2009",198.5,259.6,343.6
"Hungary","Denmark","2009",357.9,468.3,610.9
"Iceland","Denmark","2009",961.4,1194.9,1471.9
"Ireland","Denmark","2009",185.5,242.4,320.5
"Italy","Denmark","2009",627.8,797.8,1019.1
"Latvia","Denmark","2009",552.6,717.3,927.6
"Liechtenstein","Denmark","2009",0.7,1.3,2.5
"Lithuania","Denmark","2009",1009.6,1290,1642.8
"Luxembourg","Denmark","2009",98,130.8,174.1
"Malta","Denmark","2009",23.4,33.8,48.5
"Netherlands","Denmark","2009",508.4,658.4,855.2
"Norway","Denmark","2009",2052.1,2526.2,3123.5
"Poland","Denmark","2009",2706.4,3483.9,4478.4
"Portugal","Denmark","2009",176.6,235.2,312.3
"Romania","Denmark","2009",1317.1,1715,2232.5
"Slovakia","Denmark","2009",163.8,215.3,287.8
"Slovenia","Denmark","2009",33,44.7,60.6
"Spain","Denmark","2009",1052.2,1338.2,1702.3
"Sweden","Denmark","2009",4050,4980.2,6177.5
"Switzerland","Denmark","2009",285.9,371.3,491.2
"United Kingdom","Denmark","2009",2144.2,2786.2,3582.9
"North Macedonia","Denmark","2009",62.1,83.6,112
"Other Europe","Denmark","2009",2955.6,3812.6,4883
"North Africa","Denmark","2009",241.7,313.9,409.2
"Sub-Saharan Africa","Denmark","2009",1180.2,1529.2,1977
"West Asia","Denmark","2009",1548.2,2007.5,2585.7
"East Asia","Denmark","2009",1426,1848.9,2399
"South-Southeast Asia","Denmark","2009",4235.5,5498.8,7067.2
"North America and Oceania","Denmark","2009",3017.9,3872.2,5010.5
"Latin America","Denmark","2009",855.2,1115.2,1434.5
"Austria","Estonia","2009",18.3,29.5,46.7
"Belgium","Estonia","2009",40.6,71.5,127.8
"Bulgaria","Estonia","2009",19.7,37.5,70.4
"Croatia","Estonia","2009",1.1,2.2,4.5
"Cyprus","Estonia","2009",6.3,12.2,24.7
"Czechia","Estonia","2009",26.3,50.8,98.7
"Denmark","Estonia","2009",61,87.7,122.5
"Estonia","Estonia","2009",NA,NA,NA
"Finland","Estonia","2009",939.4,1292.6,1788.1
"France","Estonia","2009",76.4,136.9,247.3
"Germany","Estonia","2009",186.3,359.6,699.3
"Greece","Estonia","2009",10.9,21.7,42.8
"Hungary","Estonia","2009",16,31.4,61
"Iceland","Estonia","2009",7.6,12.7,20.1
"Ireland","Estonia","2009",89.4,164.5,301.2
"Italy","Estonia","2009",64.6,101,158
"Latvia","Estonia","2009",146.7,283.7,545.5
"Liechtenstein","Estonia","2009",0,0.1,0.2
"Lithuania","Estonia","2009",55.1,84.4,129
"Luxembourg","Estonia","2009",7.3,14.3,28.6
"Malta","Estonia","2009",1.9,4,8.4
"Netherlands","Estonia","2009",37,68.1,122.7
"Norway","Estonia","2009",82.4,116.5,165.5
"Poland","Estonia","2009",30.5,58.9,112.6
"Portugal","Estonia","2009",16.2,31.3,61.7
"Romania","Estonia","2009",9.4,19,38.2
"Slovakia","Estonia","2009",6.1,11.7,22.1
"Slovenia","Estonia","2009",2.8,4.9,8.5
"Spain","Estonia","2009",77.9,146.6,284.5
"Sweden","Estonia","2009",110.9,154.7,217.7
"Switzerland","Estonia","2009",18.9,33.9,62.5
"United Kingdom","Estonia","2009",247.9,462,873
"North Macedonia","Estonia","2009",0.7,1.4,2.7
"Other Europe","Estonia","2009",988.1,1520.8,2349.5
"North Africa","Estonia","2009",9.6,16.2,26.7
"Sub-Saharan Africa","Estonia","2009",13.9,23.4,38.4
"West Asia","Estonia","2009",81.2,129.2,200.2
"East Asia","Estonia","2009",61.2,96,150.7
"South-Southeast Asia","Estonia","2009",45.3,73.1,116
"North America and Oceania","Estonia","2009",132.7,205.4,318
"Latin America","Estonia","2009",25.8,41.5,65.8
"Austria","Finland","2009",82.3,108.1,144.4
"Belgium","Finland","2009",193.4,254.8,336.2
"Bulgaria","Finland","2009",125.4,169.4,230.1
"Croatia","Finland","2009",11.2,17.4,26.7
"Cyprus","Finland","2009",21.1,31.3,46.2
"Czechia","Finland","2009",56.6,78.6,109.4
"Denmark","Finland","2009",357.5,449.2,561.8
"Estonia","Finland","2009",3486.3,4492.5,5803.6
"Finland","Finland","2009",NA,NA,NA
"France","Finland","2009",350.2,459.6,602.4
"Germany","Finland","2009",821.6,1076.2,1398.8
"Greece","Finland","2009",105.5,141,190.3
"Hungary","Finland","2009",197.5,263.1,346
"Iceland","Finland","2009",50.7,66.4,86.7
"Ireland","Finland","2009",148.5,198.7,260.8
"Italy","Finland","2009",309.3,401.8,520
"Latvia","Finland","2009",139.5,188.4,249.8
"Liechtenstein","Finland","2009",0.3,0.6,1.3
"Lithuania","Finland","2009",92.3,121.7,159.2
"Luxembourg","Finland","2009",40.7,57.9,80.7
"Malta","Finland","2009",13.1,20.4,31.1
"Netherlands","Finland","2009",193.4,257.4,341.4
"Norway","Finland","2009",509.3,639.2,799.7
"Poland","Finland","2009",345,457.8,601.8
"Portugal","Finland","2009",68,93.1,126.6
"Romania","Finland","2009",163.1,220.1,296.1
"Slovakia","Finland","2009",37.8,53.4,74.8
"Slovenia","Finland","2009",15.1,21.8,31.3
"Spain","Finland","2009",617,786.9,1003
"Sweden","Finland","2009",3392.3,4172.9,5143.3
"Switzerland","Finland","2009",233.4,305.5,406.6
"United Kingdom","Finland","2009",971.4,1259.7,1650.1
"North Macedonia","Finland","2009",12.9,19.3,28.8
"Other Europe","Finland","2009",2973.9,3858.7,5006.9
"North Africa","Finland","2009",256,338.7,446.2
"Sub-Saharan Africa","Finland","2009",1411.9,1843.7,2395.7
"West Asia","Finland","2009",1308.9,1691.5,2199.5
"East Asia","Finland","2009",963.3,1256.5,1631.2
"South-Southeast Asia","Finland","2009",2681.9,3480.5,4538.8
"North America and Oceania","Finland","2009",1140.5,1492.6,1930.6
"Latin America","Finland","2009",371.1,487.1,636.4
"Austria","France","2009",647.8,1015.1,1538.5
"Belgium","France","2009",6970.2,13451.2,25605.2
"Bulgaria","France","2009",654.8,1249.4,2417.3
"Croatia","France","2009",49,93.4,182.6
"Cyprus","France","2009",49,93.8,181.7
"Czechia","France","2009",537.9,1020.1,1961.6
"Denmark","France","2009",628.6,869.8,1189.3
"Estonia","France","2009",88.4,168,313.3
"Finland","France","2009",391.8,543.3,756.8
"France","France","2009",NA,NA,NA
"Germany","France","2009",6607.4,12835.9,24557.7
"Greece","France","2009",610.1,1219.2,2305.8
"Hungary","France","2009",453.2,876.7,1677.9
"Iceland","France","2009",33.7,50.5,74.7
"Ireland","France","2009",1531.8,2846.2,5307.1
"Italy","France","2009",10608.1,16142.8,25161.7
"Latvia","France","2009",118.4,224.3,446.3
"Liechtenstein","France","2009",2,3.9,7.6
"Lithuania","France","2009",316.3,485.9,746
"Luxembourg","France","2009",1338.8,2537.9,4833.8
"Malta","France","2009",103.7,205.8,400.5
"Netherlands","France","2009",1584.5,2979.6,5581.1
"Norway","France","2009",353.2,490.8,689
"Poland","France","2009",1548.8,2924.5,5725.7
"Portugal","France","2009",4679.4,8913.7,17596.1
"Romania","France","2009",2408.6,4744.4,9281.6
"Slovakia","France","2009",188.1,345.5,636.1
"Slovenia","France","2009",100,157.4,244.3
"Spain","France","2009",13372.8,20746.1,31761.6
"Sweden","France","2009",805.1,1115,1547.2
"Switzerland","France","2009",4844.7,9023.8,17002.8
"United Kingdom","France","2009",12545,22815.7,42145.1
"North Macedonia","France","2009",72.9,150.2,311.8
"Other Europe","France","2009",1795.2,15107.4,130090.8
"North Africa","France","2009",3112.7,27680.3,251429.5
"Sub-Saharan Africa","France","2009",3733.2,30155.5,244665.5
"West Asia","France","2009",1150.2,10115.9,88602.5
"East Asia","France","2009",1418.1,12757.3,108555.8
"South-Southeast Asia","France","2009",2807.2,23905.9,220446.9
"North America and Oceania","France","2009",1612.4,13765.7,122428
"Latin America","France","2009",2119.6,18424.7,167101.5
"Austria","Germany","2009",9244.1,14245.8,21953.9
"Belgium","Germany","2009",1815.8,3479.5,6471.9
"Bulgaria","Germany","2009",7893.5,17283.7,38773.9
"Croatia","Germany","2009",3098.4,6810,14480
"Cyprus","Germany","2009",99.6,502.6,2373
"Czechia","Germany","2009",975.2,5188,26881.6
"Denmark","Germany","2009",2066.6,2881.2,3959.7
"Estonia","Germany","2009",305.8,606.3,1239.4
"Finland","Germany","2009",749.5,1030.7,1437.2
"France","Germany","2009",5768.2,11069.9,21871.6
"Germany","Germany","2009",NA,NA,NA
"Greece","Germany","2009",3952.1,19194.8,89497.5
"Hungary","Germany","2009",1993,9943.3,50627.8
"Iceland","Germany","2009",217.2,308.6,434.3
"Ireland","Germany","2009",1052.1,2699.7,6747.3
"Italy","Germany","2009",18599.2,28924.1,44789.1
"Latvia","Germany","2009",254,1290.8,6369
"Liechtenstein","Germany","2009",29.6,49,79.1
"Lithuania","Germany","2009",2208.8,3446.3,5333.7
"Luxembourg","Germany","2009",229.8,1186.2,5888.5
"Malta","Germany","2009",54.7,275.4,1399.6
"Netherlands","Germany","2009",4984.2,9395.4,17835.9
"Norway","Germany","2009",756.2,1040.2,1440.5
"Poland","Germany","2009",6353.9,35337.1,187760.3
"Portugal","Germany","2009",1790.4,9179.2,49821.5
"Romania","Germany","2009",2230.9,11208,58696.9
"Slovakia","Germany","2009",1166.2,2384.1,4751
"Slovenia","Germany","2009",768.3,1195,1847.1
"Spain","Germany","2009",10570.9,16221.8,24991.7
"Sweden","Germany","2009",1716.4,2378.8,3294
"Switzerland","Germany","2009",6909.7,12743.1,23689.5
"United Kingdom","Germany","2009",7864.4,16356.6,34339.4
"North Macedonia","Germany","2009",851.9,1761.9,3474.4
"Other Europe","Germany","2009",4852.9,43457.2,388846
"North Africa","Germany","2009",914,8757.7,72367.2
"Sub-Saharan Africa","Germany","2009",2351.7,19066.6,170235.8
"West Asia","Germany","2009",2759.8,22590.1,204800.3
"East Asia","Germany","2009",1773.4,15696.1,131983.1
"South-Southeast Asia","Germany","2009",3593.7,32577.3,285216.7
"North America and Oceania","Germany","2009",2094.5,17567.6,162431
"Latin America","Germany","2009",1375.3,11940.2,109181.2
"Austria","Greece","2009",303.6,467.8,734.5
"Belgium","Greece","2009",321.1,609.8,1175.6
"Bulgaria","Greece","2009",2729.1,5981,13439.8
"Croatia","Greece","2009",5.7,12.3,27
"Cyprus","Greece","2009",224.1,1225.5,6315.1
"Czechia","Greece","2009",127.8,682.6,3264.3
"Denmark","Greece","2009",98.4,137.3,195
"Estonia","Greece","2009",11.8,24.8,51.4
"Finland","Greece","2009",61.6,88.3,127.2
"France","Greece","2009",543.9,1048.8,2042
"Germany","Greece","2009",2935.7,14602.6,75287.7
"Greece","Greece","2009",NA,NA,NA
"Hungary","Greece","2009",99.8,470.3,2302.9
"Iceland","Greece","2009",2.3,4.4,8.2
"Ireland","Greece","2009",58.8,153.6,395
"Italy","Greece","2009",529,841.2,1312.5
"Latvia","Greece","2009",11.4,57.1,278
"Liechtenstein","Greece","2009",0.8,1.8,3.6
"Lithuania","Greece","2009",93.5,147.8,227.4
"Luxembourg","Greece","2009",24,114,576.9
"Malta","Greece","2009",5.8,28.3,139.2
"Netherlands","Greece","2009",500.8,965.3,1800.7
"Norway","Greece","2009",43.4,63.9,94.2
"Poland","Greece","2009",353.7,1828.5,9116.9
"Portugal","Greece","2009",24.1,116.7,573
"Romania","Greece","2009",633.6,3156.4,16540.1
"Slovakia","Greece","2009",36.7,77,162.9
"Slovenia","Greece","2009",9.3,15.5,25.8
"Spain","Greece","2009",129.8,643.1,3368.7
"Sweden","Greece","2009",333.9,465.9,647.3
"Switzerland","Greece","2009",237.6,449.9,836.4
"United Kingdom","Greece","2009",1223.9,5004.5,19980.8
"North Macedonia","Greece","2009",108.8,229,467.1
"Other Europe","Greece","2009",890.3,7907.4,69735.5
"North Africa","Greece","2009",225.2,1943.6,15594.8
"Sub-Saharan Africa","Greece","2009",337.3,3043.4,25002.2
"West Asia","Greece","2009",333.8,3025.6,27360.4
"East Asia","Greece","2009",140.4,1285.5,10697.7
"South-Southeast Asia","Greece","2009",359,3212.1,29496.5
"North America and Oceania","Greece","2009",226.7,1968.8,16405.6
"Latin America","Greece","2009",154.8,1206.1,10102.6
"Austria","Hungary","2009",2198.9,3455.3,5399.4
"Belgium","Hungary","2009",230.6,439.8,836.3
"Bulgaria","Hungary","2009",144.4,324.6,726.5
"Croatia","Hungary","2009",42.6,91.4,205.7
"Cyprus","Hungary","2009",10.1,51.7,260.7
"Czechia","Hungary","2009",98.4,506.6,2521.3
"Denmark","Hungary","2009",233.7,327.6,454.8
"Estonia","Hungary","2009",11.2,23.1,48.2
"Finland","Hungary","2009",85.9,121.7,172.9
"France","Hungary","2009",319.4,619.8,1198.6
"Germany","Hungary","2009",1186.6,5824.4,29321.8
"Greece","Hungary","2009",55,258.1,1225.9
"Hungary","Hungary","2009",NA,NA,NA
"Iceland","Hungary","2009",12.5,19.8,31.8
"Ireland","Hungary","2009",177.6,460.1,1190.4
"Italy","Hungary","2009",649.8,1018.3,1571.9
"Latvia","Hungary","2009",11.4,58,283.7
"Liechtenstein","Hungary","2009",0.6,1.5,3
"Lithuania","Hungary","2009",15,24.5,39.7
"Luxembourg","Hungary","2009",8.9,45.3,210.4
"Malta","Hungary","2009",5.5,26.3,130.4
"Netherlands","Hungary","2009",469.2,876.1,1657.2
"Norway","Hungary","2009",72.7,105.3,151
"Poland","Hungary","2009",133.6,654.1,3313
"Portugal","Hungary","2009",26,128.6,642
"Romania","Hungary","2009",774.8,4186.9,20318.4
"Slovakia","Hungary","2009",327.6,671.8,1324.7
"Slovenia","Hungary","2009",52.3,82.6,128.7
"Spain","Hungary","2009",155.7,770.7,4156.9
"Sweden","Hungary","2009",174.4,245.5,345
"Switzerland","Hungary","2009",426.8,804.6,1541.9
"United Kingdom","Hungary","2009",733.4,2868.8,11757
"North Macedonia","Hungary","2009",10.9,24.6,55.6
"Other Europe","Hungary","2009",401.4,3288.5,28846.8
